symptom,precision,recall,f1,support,predicted_positive,experiment,TP,FP,FN
고열,0.779373368146214,0.5756991321118612,0.6622296173044925,1037,766,b0_bce,597,169,440
구토,0.7381756756756757,0.48936170212765956,0.5885521885521886,893,592,b0_bce,437,155,456
두통,0.6511627906976745,0.3855421686746988,0.4843243243243243,581,344,b0_bce,224,120,357
복통,0.8611353711790393,0.7282127031019202,0.7891156462585034,1354,1145,b0_bce,986,159,368
어지러움,0.7353815659068385,0.585635359116022,0.6520210896309314,1267,1009,b0_bce,742,267,525
열상,0.8986975397973951,0.8961038961038961,0.8973988439306358,693,691,b0_bce,621,70,72
오심,0.5102040816326531,0.1122754491017964,0.18404907975460122,668,147,b0_bce,75,72,593
전신쇠약,0.6214039125431531,0.5084745762711864,0.559295701708959,1062,869,b0_bce,540,329,522
호흡곤란,0.7319587628865979,0.6331210191082802,0.6789617486338798,785,679,b0_bce,497,182,288
고열,0.6830543933054394,0.6297010607521697,0.65529352734571,1037,956,l1_weighted_bce,653,303,384
구토,0.6221419975932612,0.5789473684210527,0.5997679814385151,893,831,l1_weighted_bce,517,314,376
두통,0.5211505922165821,0.5301204819277109,0.5255972696245734,581,591,l1_weighted_bce,308,283,273
복통,0.8166007905138339,0.7629246676514032,0.7888507063764796,1354,1265,l1_weighted_bce,1033,232,321
어지러움,0.6798706548100243,0.6637726913970008,0.6717252396166135,1267,1237,l1_weighted_bce,841,396,426
열상,0.8683473389355743,0.8946608946608947,0.8813077469793887,693,714,l1_weighted_bce,620,94,73
오심,0.35650887573964496,0.36077844311377244,0.3586309523809524,668,676,l1_weighted_bce,241,435,427
전신쇠약,0.5523012552301255,0.6214689265536724,0.5848471422241914,1062,1195,l1_weighted_bce,660,535,402
호흡곤란,0.6628041714947857,0.7286624203821656,0.6941747572815534,785,863,l1_weighted_bce,572,291,213
